Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_1206_3216Metric",32.700000,-70.100000,0.000000,top
"C2","470p","C_0603_1608Metric",37.700000,-60.400000,-90.000000,top
"C3","10u","C_1206_3216Metric",32.700000,-61.600000,180.000000,top
"C4","10u","C_1206_3216Metric",46.700000,-91.600000,90.000000,top
"C5","100n","C_0805_2012Metric",39.400000,-98.550000,-90.000000,top
"C6","10u","C_1206_3216Metric",33.450000,-91.600000,-90.000000,top
"C7","100u","C_0805_2012Metric",32.200000,-59.400000,180.000000,top
"C8","10u","C_1206_3216Metric",42.600000,-72.900000,90.000000,top
"C9","10u","C_1206_3216Metric",42.500000,-66.600000,-90.000000,top
"D1","1N4007","D_SOD-323",42.600000,-77.000000,-90.000000,top
"D19","1N4007","D_SOD-323",36.050000,-98.700000,-90.000000,top
"J2","Conn_Sensor","Molex_PicoBlade_53398-0471_1x04-1MP_P1.25mm_Vertical",46.300000,-64.400000,90.000000,top
"J3","Conn_Fan","Molex_PicoBlade_53398-0271_1x02-1MP_P1.25mm_Vertical",46.300000,-75.200000,90.000000,top
"Q1","CJ2301","SOT-23",39.600000,-73.300000,-90.000000,top
"Q2","S8050","SOT-23",37.000000,-86.900000,180.000000,top
"Q3","S8050","SOT-23",43.000000,-86.900000,0.000000,top
"R3","5.1k","R_0603_1608Metric",42.800000,-98.800000,-90.000000,top
"R5","12k","R_0603_1608Metric",42.300000,-60.400000,-90.000000,top
"R8","100","R_0603_1608Metric",40.500000,-77.000000,-90.000000,top
"R9","12k","R_0603_1608Metric",38.700000,-77.000000,-90.000000,top
"R10","470R","R_0603_1608Metric",34.250000,-86.850000,-90.000000,top
"R13","470R","R_0603_1608Metric",45.800000,-86.850000,-90.000000,top
"RN1","10k","R_Array_Convex_2x0402",40.000000,-86.900000,0.000000,top
"RN2","12k","R_Array_Convex_4x0402",40.000000,-60.400000,-90.000000,top
"U2","L78L33_SOT89","SOT-89-3",32.750000,-66.200000,-90.000000,top
"U3","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",40.000000,-93.000000,90.000000,top
